scorer,,,Isaac,Isaac,Isaac,Isaac,Isaac,Isaac,Isaac,Isaac,Isaac,Isaac,Isaac,Isaac,Isaac,Isaac,Isaac,Isaac
bodyparts,,,Nose,Nose,Left_ear,Left_ear,Right_ear,Right_ear,Centroid,Centroid,Left_lateral,Left_lateral,Right_lateral,Right_lateral,Tail_base,Tail_base,Tail_end,Tail_end
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img00056.png,512.4281491470201,394.3639507186103,530.1566813115323,359.94974122279245,510.34243948060686,357.86403155637925,531.199536144739,330.7498058930076,552.056632808871,318.2355478945284,516.5995684798465,313.0212737284954,545.7995038096313,285.9070480651238,546.842358642838,198.30724207576924
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img00354.png,501.999600814954,388.10682171937077,531.199536144739,368.2925798884453,507.2138749809871,353.6926122235528,534.3281006443588,326.57838656018123,554.1423424752842,315.1069833949086,515.55671364664,309.89270922887556,543.7137941432181,282.77848356550396,549.9709231424578,196.22153240935603
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img00742.png,504.08531048136723,253.5785482357191,490.52819764968143,286.9499028983304,512.4281491470201,284.86419323191717,516.5995684798465,311.97841889528877,524.9424071454994,342.22120905828024,539.5423748103917,297.37845123039637,557.270906974904,303.635580229636,568.7423101401766,220.20719357310787
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img00751.png,495.7424718157145,253.57854823571915,495.7424718157145,285.90704806512383,519.7281329794663,270.2642255670247,520.770987812673,298.42130606360297,522.8566974790862,330.7498058930076,542.6709393100116,290.07846739795013,560.3994714745238,307.80699956246235,574.9994391394163,228.5500322387606
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img02045.png,505.1281653145739,367.2497250552387,537.4566651439785,353.6926122235528,516.5995684798465,333.8783703926274,543.7137941432181,317.1926930613218,559.3566166413171,308.84985439566896,522.8566974790862,305.7212898960492,545.7995038096313,274.4356448998511,545.7995038096313,193.09296790973622
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img02074.png,488.21464010213697,342.71366453475736,523.9424455470746,354.62293301640324,516.0029332259774,325.1333158237563,540.9556862351401,313.79115536504594,559.6702509920121,313.79115536504594,518.8384733406549,303.5832109522066,547.7609825103663,271.8251616678176,547.1938744874308,192.99714647978067
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img03132.png,496.7212604461697,361.99533731456495,533.5832819369783,355.75714906227427,515.4358252030418,333.6399361677891,540.3885782122046,315.4924794338525,559.1031429690767,314.92537141091697,518.2713653177194,308.12007513569074,547.7609825103663,274.0935937595597,548.3280905333019,188.46028229629653
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img03523.png,411.27123032597973,214.99291940707496,431.08547215690515,241.06429023724002,443.5997301553844,220.20719357310793,474.8853751515824,256.70711273533897,499.9138911485408,289.0356125647436,505.1281653145739,255.6642579021323,531.199536144739,271.3070804002313,553.0994876420776,194.13582274294282
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img03533.png,480.09964931761544,203.52151624180232,470.713955818756,235.85001607120694,496.78532664892106,226.4643225723475,503.0424556481607,261.92138690137193,508.25672981419365,285.9070480651238,533.2852458111522,266.0928062341983,554.1423424752842,291.12132223115674,557.270906974904,203.52151624180226
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img03550.png,556.2280521416974,244.19285473685972,532.2423909779455,261.92138690137193,555.1851973084908,272.3499352334379,535.3709554775654,292.16417706436334,516.5995684798465,308.84985439566896,556.2280521416974,313.0212737284954,538.4995199771852,334.921225225834,562.485181140937,359.94974122279245
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img03644.png,496.78532664892106,146.1645004154392,494.69961698250785,176.40729057843066,517.6424233130531,172.23587124560424,516.5995684798465,214.99291940707485,505.1281653145739,247.32141923647947,536.413810310772,246.27856440327287,527.0281168119126,279.64991906588415,556.2280521416974,360.99259605599906
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img03658.png,487.3996331500616,137.82166174978636,492.61390731609464,176.40729057843066,515.55671364664,168.06445191277783,514.5138588134333,211.86435490745504,504.08531048136723,241.0642902372399,538.4995199771852,236.89287090441348,530.1566813115323,266.0928062341983,553.0994876420776,354.73546705675943
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img03728.png,441.5140204889712,168.06445191277788,449.856859154624,199.3500969089759,467.5853913191362,184.75012924408344,483.22821381723526,232.72145157158712,483.22821381723526,262.9642417345786,514.5138588134333,252.5356934025125,517.6424233130531,282.77848356550396,527.0281168119126,376.63541855409807
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img03739.png,403.9712464935335,178.49300024484393,424.82834315766553,201.43580657538917,436.2997463229382,178.49300024484393,464.45682681951644,211.8643549074551,478.01393965120224,248.36427406968613,497.8281814821276,224.37861290593435,511.3852943138135,265.04995140099174,543.7137941432181,348.4783380575198
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img03745.png,386.2427143290213,123.22169408489405,393.5426981614675,155.5501939142987,411.27123032597973,140.95022624940628,432.12832699011176,178.49300024484393,440.4711656557646,211.8643549074551,458.1996978202768,186.83583891049665,479.05679448440884,228.5500322387607,532.2423909779455,298.42130606360297
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img03803.png,199.57169918503965,261.9213869013722,202.70026368465946,229.59288707196754,176.6288928544944,234.80716123800056,194.35742501900666,182.66441957767051,218.3430861827585,167.02159707957145,186.01458635335385,155.55019391429886,212.0859571835189,126.35025858451401,276.74295684232817,61.69325892570468
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img03811.png,149.5146671911228,165.9787422463649,186.01458635335385,163.8930325799517,174.54318318808123,146.16450041543948,204.78597335107267,135.73595208337343,223.55736034879152,140.9502262494064,206.87168301748588,103.4074522539688,240.2430376800971,104.45030708717537,335.14282750189784,89.85033942228286
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img03908.png,208.9573926838991,109.66458125320837,244.41445701292352,111.75029091962155,235.0287635140641,90.89319425548955,269.44297300988194,91.93604908869612,303.85718250569977,96.10746842152251,292.3857793404272,63.77896859211786,325.7571340030384,57.52183959287821,257.97156984460935,49.17900092722546
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img04030.png,371.6427466641289,60.65040409249799,337.22853716831105,51.26471059363861,343.4856661675506,78.37893625701024,308.0286018385262,72.12180725777067,285.08579550798095,58.56469442608484,284.04294067477434,98.19317808793569,255.88586017819617,75.25037175739051,349.74279516679024,43.96472676119238
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img04101.png,487.3996331500616,313.02127372849543,519.7281329794663,304.6784350628426,507.2138749809871,286.9499028983303,537.4566651439785,262.96424173457854,551.0137779756644,248.36427406968608,510.34243948060686,245.23570957006632,532.2423909779455,209.77864524104183,508.25672981419365,123.22169408489397
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img04164.png,394.5855529946741,440.24956337970093,417.52835932521936,414.1781925495358,393.5426981614675,407.92106355029625,422.7426334912524,374.549708887685,451.9425688210372,362.0354508892057,411.27123032597973,345.34977355790016,451.9425688210372,316.14983822811524,507.2138749809871,245.23570957006632
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img04179.png,357.0427789992365,412.09248288312267,390.4141336618477,401.6639345510566,374.7713111637487,378.7211282205114,410.2283754927731,373.50685405447837,441.5140204889712,366.20687022203214,411.27123032597973,344.30691872469356,454.0282784874504,320.32125756094166,516.5995684798465,249.40712890289268
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img04190.png,291.3429245072206,378.7211282205115,323.6714243366252,397.49251521823027,326.799988836245,373.5068540544784,369.55703699771567,380.8068378869246,402.92839166032695,384.978257219751,384.1570046626081,348.4783380575199,427.95690765728534,356.82117672317275,496.78532664892106,291.1213222311568
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img04196.png,314.2857308377658,429.82101504763494,349.74279516679024,424.6067408816019,333.05711783548463,399.5782248846435,378.9427304965751,384.978257219751,414.39979482559954,382.8925475533378,386.2427143290213,356.82117672317275,434.21403665652497,343.2640638914869,498.87103631533427,279.6499190658842
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img04232.png,557.270906974904,305.7212898960492,520.770987812673,318.2355478945284,542.6709393100116,337.0069348922472,497.8281814821276,354.7354670567595,478.01393965120224,346.3926283911067,483.22821381723526,383.93540238654435,446.72829465500416,375.5925637208915,345.5713758339638,375.59256372089163
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img04332.png,358.085633832443,483.00661154117154,390.41413366184764,465.2780793766593,370.5998918309223,450.67811171176686,411.27123032597973,437.12099888008106,438.3854559893514,436.0781440468744,424.82834315766553,407.92106355029625,468.6282461523428,403.7496442174698,533.2852458111522,326.57838656018123
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img04360.png,462.3711171531032,412.09248288312256,487.3996331500616,381.84969272013115,458.1996978202768,374.5497088876849,483.22821381723526,349.52119289072647,506.17102014778044,343.26406389148684,460.28540748669,341.1783542250737,486.356778316855,314.06412856170203,516.5995684798465,238.9785805708267
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img04401.png,298.6429083396668,449.6352568785604,340.35710166793086,445.4638375457339,324.7142791698318,420.4353215487755,370.5998918309223,411.049628049916,402.92839166032695,412.0924828831226,383.11414982940147,378.7211282205114,419.61406899163256,378.7211282205114,495.7424718157145,319.27840272773506
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img04519.png,521.106905432397,256.51324504855864,514.8687171801063,284.8686461953345,540.9556862351401,283.7344301494635,527.3450936846876,309.2542911815618,505.22788079020245,316.059587456788,542.6570103039467,330.23728803017593,509.7647449736867,358.0255811540163,448.5170784966507,435.71938029618224
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img04617.png,157.85750585677562,176.40729057843095,184.97173152014724,156.59304874750546,170.37176385525484,136.7788069165801,210.0002475171057,116.9645650856546,243.37160217971692,119.05027475206775,233.98590868085753,86.72177492266313,269.44297300988194,90.89319425548952,363.29990799847604,78.37893625701021
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img04633.png,166.2003445224284,286.9499028983306,173.5003283548746,251.49283856930617,148.47181235791618,258.79282240175246,170.3717638552548,204.5643710750091,195.40027985221326,186.83583891049688,160.98607035639543,181.6215647444639,189.14315085297366,153.46448424788565,243.37160217971692,78.3789362570103
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img04644.png,149.51466719112278,295.2927415639835,159.9432155231888,259.835677234959,132.82898985981714,257.74996756854586,154.72894135715578,225.42146773914118,181.84316702052743,205.6072259082157,147.42895752470957,196.22153240935637,180.80031218732086,159.72161324712528,224.6002151819981,80.46464592342353
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img04696.png,233.9859086808575,338.04978972545405,245.45731184613012,303.6355802296362,220.42879584917168,308.84985439566924,229.8144893480311,257.74996756854574,245.45731184613012,224.37861290593452,212.08595718351887,235.85001607120716,224.60021518199807,199.35009690897613,238.15732801368392,103.40745225396877
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img04835.png,478.01393965120224,400.62107971784997,497.8281814821276,370.3782895548585,474.8853751515824,367.24972505523874,486.356778316855,313.02127372849543,504.08531048136723,295.29274156398316,466.5425364859296,300.50701573001624,483.22821381723526,265.0499514009918,466.5425364859296,168.06445191277788
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img04928.png,348.69994033358364,96.10746842152246,379.9855853297817,104.45030708717526,378.9427304965751,78.37893625701021,420.65692382483917,101.32174258755539,441.5140204889712,122.17883925168742,448.81400432141737,88.80748458907617,479.05679448440884,119.05027475206758,533.2852458111522,191.007258243323
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img05837.png,280.91437617515453,76.29322659059706,312.2000211713526,77.33608142380363,303.85718250569977,51.264710593638625,333.05711783548463,57.52183959287821,353.91421449961666,75.25037175739043,350.78564999999685,38.75045259515937,377.8998756633685,62.7361137589112,474.8853751515824,90.89319425548935
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img06202.png,241.2858925133037,161.80732291353843,268.40011817667533,130.52167791734036,243.37160217971692,119.05027475206775,278.8286665087414,97.15032325472909,305.942892172113,104.45030708717532,278.8286665087414,75.25037175739048,323.6714243366252,65.86467825853101,417.52835932521936,59.60754925929133
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img06259.png,484.27106865044186,97.15032325472895,450.8997139878306,78.37893625701012,445.68543982179756,105.49316192038181,421.6997786580458,82.55035558983657,411.27123032597973,60.650404092497965,398.75697232750053,99.23603292114221,370.5998918309223,77.3360814238036,300.72861800608,49.17900092722543
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img06610.png,525.9852619787059,207.69293557462862,512.4281491470201,236.89287090441348,537.4566651439785,237.9357257376201,518.6852781462597,266.0928062341983,497.8281814821276,280.6927738990908,533.2852458111522,287.9927577315369,512.4281491470201,330.7498058930076,554.1423424752842,307.80699956246235
labeled-data,FiberphotometryTest-240918_ic240724d-240918-173603_Vid1,img07237.png,216.2573765163453,127.39311341772058,245.45731184613012,110.70743608641494,225.6430700152047,86.72177492266313,263.1858440106423,75.25037175739051,291.3429245072206,88.80748458907628,285.08579550798095,51.264710593638654,321.5857156647559,59.60754925929169,415.44265065335003,60.65040409249829
