Video file,Mouse,Group,First opto frame,Last opto frame,Date,Laser intensity (mW),Note
IC_OptoOnly_20Hz-240108_ic231126e-240108-121716,ic231126e,Npas1-ChR2-20Hz,3029,14212,1/8/2024,9,
IC_OptoOnly_20Hz-240108_ic231126d-240108-132814,ic231126d,Npas1-ChR2-20Hz,3022,14205,1/8/2024,9,
IC_OptoOnly_20Hz-240324_ic240213a-240324-123555,ic240213a,Npas1-ChR2-20Hz,4278,15461,3/24/2024,4,
IC_OptoOnly_20Hz-240324_ic240213c-240324-134109,ic240213c,Npas1-ChR2-20Hz,3665,14848,3/24/2024,4,
IC_OptoOnly_20Hz-240324_ic240213d-240324-141350,ic240213d,Npas1-ChR2-20Hz,3040,14223,3/24/2024,4,
IC_OptoOnly_20Hz-240412_ic240302d-240412-095323,ic240302d,Npas1-ChR2-20Hz,3047,14230,4/12/2024,4,
IC_OptoOnly_20Hz-240526_ic240410a-240526-104923,ic240410a,Npas1-ChR2-20Hz,3317,14500,5/26/2024,4,
IC_OptoOnly_20Hz-240526_ic240410b-240526-112231,ic240410b,Npas1-ChR2-20Hz,3296,14479,5/26/2024,4,
IC_OptoOnly_20Hz-240526_ic240410c-240526-120204,ic240410c,Npas1-ChR2-20Hz,3999,15182,5/26/2024,4,
IC_OptoOnly_20Hz-240526_ic240410d-240526-123749,ic240410d,Npas1-ChR2-20Hz,3319,14502,5/26/2024,4,
IC_OptoOnly_20Hz-240526_ic240410f-240526-131501,ic240410f,Npas1-ChR2-20Hz,3035,14218,5/26/2024,4,
IC_OptoOnly_20Hz-240526_ic240410g-240526-134956,ic240410g,Npas1-ChR2-20Hz,3256,14439,5/26/2024,4,
IC_OptoOnly_20Hz-240526_ic240410h-240526-142322,ic240410h,Npas1-ChR2-20Hz,3256,14439,5/26/2024,4,
