Video file,Mouse,Group,First opto frame,Last opto frame,Date,Laser intensity (mW),Note
IC_OptoOnly_Sustained-240111_ic231126d-240111-120753,ic231126d,Npas1-ChR2-sustained,3025,14208,1/11/2024,9,
IC_OptoOnly_Sustained-240111_ic231126e-240111-101333,ic231126e,Npas1-ChR2-sustained,3231,14414,1/11/2024,9,
IC_OptoOnly_Sustained-240328_ic240213a-240328-100230,ic240213a,Npas1-ChR2-sustained,3319,14502,3/28/2024,4,
IC_OptoOnly_Sustained-240328_ic240213c-240328-122855,ic240213c,Npas1-ChR2-sustained,4349,15532,3/28/2024,4,
IC_OptoOnly_Sustained-240328_ic240213d-240328-130544,ic240213d,Npas1-ChR2-sustained,3041,14224,3/28/2024,4,
IC_OptoOnly_Sustained-240414_ic240302d-240414-094716,ic240302d,Npas1-ChR2-sustained,3036,14219,4/14/2024,4,
IC_OptoOnly_Sustained-240527_ic240410a-240527-123624,ic240410a,Npas1-ChR2-sustained,3119,14302,5/27/2024,4,
IC_OptoOnly_Sustained-240527_ic240410b-240527-131317,ic240410b,Npas1-ChR2-sustained,3073,14256,5/27/2024,4,
IC_OptoOnly_Sustained-240527_ic240410c-240527-134356,ic240410c,Npas1-ChR2-sustained,3040,14223,5/27/2024,4,
IC_OptoOnly_Sustained-240527_ic240410d-240527-143150,ic240410d,Npas1-ChR2-sustained,3062,14245,5/27/2024,4,
IC_OptoOnly_Sustained-240528_ic240410f-240528-103047,ic240410f,Npas1-ChR2-sustained,3047,14230,5/28/2024,4,
IC_OptoOnly_Sustained-240528_ic240410g-240528-111429,ic240410g,Npas1-ChR2-sustained,3206,14389,5/28/2024,4,
IC_OptoOnly_Sustained-240528_ic240410h-240528-115318,ic240410h,Npas1-ChR2-sustained,3154,14337,5/28/2024,4,
