Video file,Mouse,Group,First opto frame,Last opto frame,Date,Laser intensity (mW),Note
IC_OptoOnly_20Hz-240526_ic240410b-240526-112231,ic240412b,Npas1-eYFP-20Hz,3370,14553,5/26/2024,4,
IC_OptoOnly_20Hz-240526_ic240410c-240526-120204,ic240412c,Npas1-eYFP-20Hz,3035,14218,5/26/2024,4,
IC_OptoOnly_20Hz-240527_ic240412a-240527-115428,ic240412a,Npas1-eYFP-20Hz,3036,14219,5/27/2024,4,
IC_OptoOnly_20Hz-240528_ic240416a-240528-125923,ic240416a,Npas1-eYFP-20Hz,3105,14288,5/28/2024,4,
IC_OptoOnly_20Hz-240528_ic240416b-240528-133300,ic240416b,Npas1-eYFP-20Hz,3529,14712,5/28/2024,4,
IC_OptoOnly_20Hz-240528_ic240416c-240528-140643,ic240416c,Npas1-eYFP-20Hz,3188,14371,5/28/2024,4,
IC_OptoOnly_20Hz-240528_ic240416d-240528-144220,ic240416d,Npas1-eYFP-20Hz,3098,14281,5/28/2024,4,
IC_OptoOnly_20Hz-240528_ic240416e-240528-151552,ic240416e,Npas1-eYFP-20Hz,3036,14219,5/28/2024,4,
IC_OptoOnly_20Hz-240528_ic240416f-240528-155024,ic240416f,Npas1-eYFP-20Hz,3399,14582,5/28/2024,4,
IC_OptoOnly_20Hz-240612_ic240501a-240612-092041,ic240501a,Npas1-eYFP-20Hz,3046,14229,6/12/2024,4,
IC_OptoOnly_20Hz-240612_ic240501b-240612-095729,ic240501b,Npas1-eYFP-20Hz,4486,15669,6/12/2024,4,
IC_OptoOnly_20Hz-240612_ic240501c-240612-104644,ic240501c,Npas1-eYFP-20Hz,3049,14232,6/12/2024,4,
