Video file,Mouse,Group,First opto frame,Last opto frame,Date,Laser intensity (mW),Note
IC_OptoOnly_Sustained-240528_ic240412a-240528-084718,ic240412a,Npas1-eYFP-sustained,3154,14337,5/28/2024,4,
IC_OptoOnly_Sustained-240528_ic240412b-240528-092357,ic240412b,Npas1-eYFP-sustained,3039,14222,5/28/2024,4,
IC_OptoOnly_Sustained-240530_ic240412c-240530-103130,ic240412c,Npas1-eYFP-sustained,3177,14360,5/30/2024,4,
IC_OptoOnly_Sustained-240530_ic240416a-240530-110850,ic240416a,Npas1-eYFP-sustained,3035,14218,5/30/2024,4,
IC_OptoOnly_Sustained-240530_ic240416b-240530-114235,ic240416b,Npas1-eYFP-sustained,3490,14673,5/30/2024,4,
IC_OptoOnly_Sustained-240530_ic240416c-240530-122046,ic240416c,Npas1-eYFP-sustained,3032,14215,5/30/2024,4,
IC_OptoOnly_Sustained-240530_ic240416e-240530-132949,ic240416e,Npas1-eYFP-sustained,4481,15664,5/30/2024,4,
IC_OptoOnly_Sustained-240530_ic240416f-240530-140420,ic240416f,Npas1-eYFP-sustained,3024,14207,5/30/2024,4,
IC_OptoOnly_Sustained-240616_ic240501a-240616-104942,ic240501a,Npas1-eYFP-sustained,3273,14456,6/16/2024,4,
IC_OptoOnly_Sustained-240616_ic240501b-240616-112840,ic240501b,Npas1-eYFP-sustained,3841,15024,6/16/2024,4,
IC_OptoOnly_Sustained-240616_ic240501c-240616-120316,ic240501c,Npas1-eYFP-sustained,4585,15768,6/16/2024,4,
