Video file,Mouse,Group,First opto frame,Last opto frame,Date,Laser intensity (mW),Note
IC_OptoOnly_Sustained-240204_ic231221c-240204-151725,ic231221c,SOM-ChR2-sustained,3582,14765,2/4/2024,3.5,
IC_OptoOnly_Sustained-240204_ic231222a-240204-170349,ic231222a,SOM-ChR2-sustained,3035,14218,2/4/2024,3.5,
IC_OptoOnly_Sustained-240204_ic231222c-240204-173739,ic231222c,SOM-ChR2-sustained,3063,14246,2/4/2024,3.5,
IC_OptoOnly_Sustained-240205_ic231221e-240205-100243,ic231221e,SOM-ChR2-sustained,3030,14213,2/5/2024,3.5,
IC_OptoOnly_Sustained-240302_ic240108e-240302-104433,ic240108e,SOM-ChR2-sustained,3977,15160,3/2/2024,3.5,
IC_OptoOnly_Sustained-240302_ic240108h-240302-115747,ic240108h,SOM-ChR2-sustained,3056,14239,3/2/2024,3.5,
IC_OptoOnly_Sustained-240302_ic240108i-240302-123449,ic240108i,SOM-ChR2-sustained,3022,14205,3/2/2024,3.5,
IC_OptoOnly_Sustained-241012_ic240827a-241012-091042,ic240827a,SOM-ChR2-sustained,3027,14210,10/12/2024,4,
IC_OptoOnly_Sustained-241012_ic240827b-241012-094605,ic240827b,SOM-ChR2-sustained,3075,14258,10/12/2024,4,
IC_OptoOnly_Sustained-241012_ic240827c-241012-103231,ic240827c,SOM-ChR2-sustained,3018,14201,10/12/2024,4,
IC_OptoOnly_Sustained-241012_ic240827d-241012-110736,ic240827d,SOM-ChR2-sustained,4303,15486,10/12/2024,4,
IC_OptoOnly_Sustained-241012_ic240827e-241012-114301,ic240827e,SOM-ChR2-sustained,3025,14208,10/12/2024,4,
