Video file,Mouse,Group,First opto frame,Last opto frame,Date,Laser intensity (mW),Note
IC_OptoOnly_Sustained-240625_ic240514b-240625-102819,ic240514b,SOM-eNpHR-sustained,3040,14223,6/25/2024,9.5,
IC_OptoOnly_Sustained-240625_ic240514c-240625-110051,ic240514c,SOM-eNpHR-sustained,3209,14392,6/25/2024,9.5,
IC_OptoOnly_Sustained-240625_ic240514e-240625-121431,ic240514e,SOM-eNpHR-sustained,3019,14202,6/25/2024,9.5,
IC_OptoOnly_Sustained-240625_ic240514f-240625-113444,ic240514f,SOM-eNpHR-sustained,4096,15279,6/25/2024,9.5,
IC_OptoOnly_Sustained-240625_ic240514g-240625-125232,ic240514g,SOM-eNpHR-sustained,3063,14246,6/25/2024,9.5,
IC_OptoOnly_Sustained-240625_ic240514h-240625-132733,ic240514h,SOM-eNpHR-sustained,3057,14240,6/25/2024,9.5,
IC_OptoOnly_Sustained-250101_ic241118a-250101-140517,ic241118a,SOM-eNpHR-sustained,3024,14207,1/1/2025,9.5,
IC_OptoOnly_Sustained-250101_ic241118b-250101-144851,ic241118b,SOM-eNpHR-sustained,4202,15385,1/1/2025,9.5,
IC_OptoOnly_Sustained-250101_ic241118c-250101-152627,ic241118c,SOM-eNpHR-sustained,3193,14376,1/1/2025,9.5,
IC_OptoOnly_Sustained-250101_ic241118d-250101-160133,ic241118d,SOM-eNpHR-sustained,3682,14865,1/1/2025,9.5,
IC_OptoOnly_Sustained-250102_ic241118f-250102-144523,ic241118f,SOM-eNpHR-sustained,3134,14317,1/2/2025,9.5,
