Video file,Mouse,Group,First opto frame,Last opto frame,Date,Laser intensity (mW),Note
IC_OptoOnly_20Hz-240310_ic240130g-240310-160951,ic240130g,SOM-eYFP-20Hz,3435,14618,3/10/2024,4,
IC_OptoOnly_20Hz-240310_ic240130h-240310-164224,ic240130h,SOM-eYFP-20Hz,3051,14234,3/10/2024,4,
IC_OptoOnly_20Hz-240428_ic240314a-240428-094429,ic240314a,SOM-eYFP-20Hz,3801,14984,4/28/2024,4,
IC_OptoOnly_20Hz-240428_ic240314b-240428-102012,ic240314b,SOM-eYFP-20Hz,3455,14638,4/28/2024,4,
IC_OptoOnly_20Hz-240428_ic240314c-240428-105657,ic240314c,SOM-eYFP-20Hz,3240,14423,4/28/2024,4,
IC_OptoOnly_20Hz-240428_ic240314d-240428-112956,ic240314d,SOM-eYFP-20Hz,3038,14221,4/28/2024,4,
IC_OptoOnly_20Hz-240823_ic240714a-240823-110825,ic240714a,SOM-eYFP-20Hz,4862,16045,8/23/2024,4,
IC_OptoOnly_20Hz-240823_ic240714b-240823-115109,ic240714b,SOM-eYFP-20Hz,3559,14742,8/23/2024,4,
IC_OptoOnly_20Hz-240823_ic240714c-240823-132111,ic240714c,SOM-eYFP-20Hz,4282,15465,8/23/2024,4,
IC_OptoOnly_20Hz-240823_ic240714d-240823-123734,ic240714d,SOM-eYFP-20Hz,4368,15551,8/23/2024,4,
IC_OptoOnly_20Hz-240823_ic240714e-240823-143144,ic240714e,SOM-eYFP-20Hz,3280,14463,8/23/2024,4,
IC_OptoOnly_20Hz-240823_ic240714f-240823-135720,ic240714f,SOM-eYFP-20Hz,3258,14441,8/23/2024,4,
