Video file,Mouse,Group,First opto frame,Last opto frame,Date,Laser intensity (mW),Note
IC_OptoOnly_Sustained-240317_ic240130g-240317-112757,ic240130g,SOM-eYFP-sustained,3196,14379,3/17/2024,4,
IC_OptoOnly_Sustained-240317_ic240130h-240317-115942,ic240130h,SOM-eYFP-sustained,3170,14353,3/17/2024,4,
IC_OptoOnly_Sustained-240501_ic240314a-240501-153446,ic240314a,SOM-eYFP-sustained,3340,14523,5/1/2024,4,
IC_OptoOnly_Sustained-240501_ic240314b-240501-160858,ic240314b,SOM-eYFP-sustained,3893,15076,5/1/2024,4,
IC_OptoOnly_Sustained-240501_ic240314c-240501-164448,ic240314c,SOM-eYFP-sustained,3120,14303,5/1/2024,4,
IC_OptoOnly_Sustained-240501_ic240314d-240501-172547,ic240314d,SOM-eYFP-sustained,3103,14286,5/1/2024,4,
IC_OptoOnly_Sustained-240827_ic240714a-240827-102958,ic240714a,SOM-eYFP-sustained,3628,14811,8/27/2024,4,
IC_OptoOnly_Sustained-240827_ic240714b-240827-110353,ic240714b,SOM-eYFP-sustained,5199,16382,8/27/2024,4,
IC_OptoOnly_Sustained-240827_ic240714c-240827-114122,ic240714c,SOM-eYFP-sustained,4930,16113,8/27/2024,4,
IC_OptoOnly_Sustained-240827_ic240714d-240827-121831,ic240714d,SOM-eYFP-sustained,5787,16970,8/27/2024,4,
IC_OptoOnly_Sustained-240827_ic240714f-240827-131142,ic240714f,SOM-eYFP-sustained,3683,14866,8/27/2024,4,
