File name,Ra,response
25d14004,58.806,active increase
25d14010,76.646,decrease
25d18014,92.065,no change
25d18020,128.19,no change
25d18025,67.399,silent increase
25d18029,131.377,decrease
25d21003,26.439,no change
25d21017,59.47,decrease
25d21026,62.161,no change
25n05019,81.915,silent increase
25n05024,30.872,decrease
25n05033,35.475,no change
26111004,55.839,decrease
26111009,46.067,no change
26111016,111.694,decrease
26112001,64.572,no change
26112005,94.72,silent increase
26112028,79.332,decrease
26112036,51.269,no change
,,
