,center,value
0,-0.7000000000000002,-83.72
1,-0.7000000000000002,-77.92
2,-0.7000000000000002,-87.87
3,-0.7000000000000002,-88.7
4,-0.9000000000000001,-65.8
5,-0.9000000000000001,-82.18
6,-0.9000000000000001,-41.21
7,-0.9000000000000001,-60.15
8,-0.9000000000000001,-61.88
9,-0.9000000000000001,-88.66
10,-1.1,-83.08
11,-1.1,-57.91
12,-1.3000000000000003,-62.66
13,-1.3000000000000003,-61.6
14,-1.5000000000000004,-28.61
15,-1.7000000000000004,-31.97
16,-1.7000000000000004,-32.59
17,-1.7000000000000004,-22.87
18,-1.7000000000000004,-92.51
19,1.2999999999999998,-88.7
20,1.5,-41.21
21,1.6999999999999997,-83.72
22,1.6999999999999997,-82.18
23,1.6999999999999997,-87.87
24,1.6999999999999997,-60.15
25,1.6999999999999997,-61.88
26,1.9,-65.8
27,1.9,-83.08
28,1.9,-88.66
29,1.9,-57.91
30,2.3,-61.6
31,2.4999999999999996,-62.66
32,2.4999999999999996,-31.97
33,2.4999999999999996,-77.92
34,2.4999999999999996,-92.51
35,2.6999999999999997,-28.61
36,2.6999999999999997,-32.59
37,2.6999999999999997,-22.87
38,1.0,-28.61
39,1.0,-61.6
40,1.0,-32.59
41,1.0,-60.15
42,1.0,-61.88
43,1.0,-57.91
44,2.0,-62.66
45,2.0,-83.72
46,2.0,-65.8
47,2.0,-41.21
48,2.0,-22.87
49,3.0,-87.87
50,3.0,-88.66
51,4.0,-83.08
52,4.0,-82.18
53,4.0,-31.97
54,4.0,-88.7
55,4.0,-92.51
56,5.0,-77.92
