,File name,Stim firing rate change,Latency to burst
0,25419015.abf,2.3812344061795625,7.73
1,25419016.abf,72.77775001750474,7.97
2,25419017.abf,49.51018644393288,6.29
3,25419018.abf,6.20928031433902,13.14
4,25419019.abf,9.541262208893992,794.58
5,25419020.abf,0.7713646276884081,60.42
6,25419021.abf,0.34717937972470025,13.56
7,25419022.abf,52.456443912864124,5.8
8,25419023.abf,48.20985997595101,5.42
9,25419024.abf,5.566757531973891,2685.68
10,25419026.abf,19.584183474755623,115.21
11,25419027.abf,8.203176571284574,8.55
12,25424016.abf,49.87410982813143,6.51
13,25424018.abf,84.87109994091377,5.67
14,25424019.abf,-1.643656544381371,188.52
15,25424021.abf,-0.9749218996208624,214.36
