,File name,ECl,# AP evoked-120,# AP evoked-110,# AP evoked-100,# AP evoked-90,# AP evoked-80,# AP evoked-70,# AP evoked-60,# AP evoked-50,# AP evoked-40
0,23802010.abf,,0.0,0.0,0.0,2.5,0.0,1.0,0.2857142857142857,0.0,0.0
1,23802022.abf,,0.0,0.0,4.5,7.333333333333333,3.0,1.6,6.8,0.0,0.0
2,23802046.abf,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,23802051.abf,,0.0,0.0,0.0,0.0,2.0,1.3333333333333333,2.0,0.0,0.0
4,23911019.abf,-73.642578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,23911025.abf,-73.734130859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,23911031.abf,-68.3203125,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
7,23911037.abf,-85.867919921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,23911042.abf,-73.70361328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,23911047.abf,-72.427978515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,23911056.abf,-94.766845703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,23911063.abf,-85.855712890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,23911071.abf,-71.4453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,23911077.abf,-78.7451171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,23916003.abf,,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
15,23916019.abf,-75.479736328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,23916026.abf,-70.999755859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,23916032.abf,-74.31396484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,23916037.abf,-70.584716796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,23916043.abf,,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0
20,23916053.abf,-74.942626953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,23919003.abf,,0.0,0.0,0.0,0.0,4.0,10.0,7.0,1.5,1.0
