,File name,Stim firing rate change,Latency to burst
0,25d14003.abf,15.830764668747378,18.37
1,25d14009.abf,-1.0710930750105583,122.93
2,25d18013.abf,0.12962472626601262,358.21
3,25d18019.abf,0.00407239515022928,356.68
4,25d18024.abf,168.17504356510827,6.58
5,25d18028.abf,-4.670921597525469,64.84
6,25d21002.abf,-1.670897761139071,8.69
7,25d21016.abf,-5.051034598347975,5.03
8,25d21025.abf,-0.08675734805751889,-1.0
9,25n05018.abf,107.88404691121616,7.68
10,25n05022.abf,-5.4360621355222145,153.17
11,25n05031.abf,0.00044169357191969905,331.96
12,26111002.abf,-0.8102849677815896,886.03
13,26111007.abf,899.2943693589764,390.26
14,26111015.abf,-0.9443168899599528,260.91
15,26112000.abf,-1.7328667027215192,109.59
16,26112004.abf,63.44896933132227,40.87
17,26112026.abf,-1.3072871178035879,416.74
18,26112035.abf,-16.6912798197459,-1.0
