,File name,Stim firing rate change,NoStim firing rate change,Stim relative firing rate change,NoStim relative firing rate change
0,23803020.abf,-17.023691282755344,0.7475698479592126,-50.576926018861734,2.365645184838679
1,23d01001.abf,-17.813802858913387,-2.689877084623202,-86.4366478929918,-13.301510060606358
2,23d01006.abf,-0.7009696034984891,-1.548618640053384,-2.7008467591197323,-6.7498031957217846
3,23d01016.abf,-1.0622761795478795,-1.31191064823863,-2.598136853400512,-3.341231849514384
4,23d01025.abf,-23.21499280548078,0.9887360694604794,-86.32110712447766,3.8499874840597053
5,23d01029.abf,-2.2605527714371085,-1.2186481334182915,-6.935822082397442,-3.9270447643231656
6,23n16002.abf,-16.734420007585257,-4.28516013431631,-76.40970353921229,-19.906498353472827
7,23n16011.abf,-8.574921903044832,-1.9266004061656616,-22.81982094415881,-5.215384803267844
8,23n16014.abf,-30.658786928739453,-2.2015412496013695,-78.37798565022513,-6.09891335739636
9,23n16025.abf,-34.616362502257715,-0.9052299794031242,-82.18570562638003,-2.2105334982013383
10,23n16029.abf,-6.245803851305077,-2.7036580808441357,-14.381167366671379,-6.48130756561586
11,23n16033.abf,-3.8742344044460033,1.0407774634823355,-12.472024159837348,3.596464809159864
12,23n16038.abf,-1.203141317076554,-1.0875999032892025,-4.421051046220891,-4.280806406582695
13,23n16042.abf,-0.4149202401153467,-1.2138607534671557,-1.3380211387407062,-4.022048912227132
14,23n16046.abf,-40.50203172354743,-3.545088926624544,-76.24403442281732,-6.830141274635023
15,23n16060.abf,0.8680576003532536,-1.440056661088093,2.0665525389276524,-3.539970350698295
16,23n16063.abf,-1.7214616287200926,-1.1070280176932634,-4.965603408200586,-3.47818232548384
17,23n16066.abf,-0.9691880527067767,-1.3099781235860775,-2.9938970936109333,-4.223791386893154
18,23n23001.abf,-2.0300421766855017,-1.1028448032633733,-8.739771719730344,-4.95483155005764
19,23n23009.abf,-0.5369347749868538,-0.7295544395325351,-2.0831419123053556,-2.958617363457191
20,23n23013.abf,-2.125011390632352,-2.073547058298324,-4.5774289884416755,-4.591023179283289
21,23n23018.abf,-3.567955088003714,-0.7469539562172685,-8.986160383680799,-1.9072204053153277
22,23n23022.abf,-12.97803162662759,-2.710991023190793,-37.638859772413504,-8.126997777797335
23,23n23030.abf,1.1622446901733063,0.8266689828127305,5.969862750561423,4.7103121785007795
24,23n23035.abf,-2.1906529145890445,1.4998454183263732,-5.024218400198814,3.735805620301201
25,23n23039.abf,-2.0703710242429167,-1.4659896053075556,-6.100213485901242,-4.522290389263351
26,23n23043.abf,-17.127777036665208,-0.9538610726595707,-46.5334049095406,-2.5948271951858195
27,23n23048.abf,-27.003710913756386,-1.1858226862814334,-78.21326496281293,-3.503341697017236
28,23n23056.abf,-21.398699917589937,-3.6839821512388724,-63.03154656132276,-11.983332304742218
29,23n23060.abf,-16.033628998291736,-1.3489606898947812,-44.70882078828961,-3.957813107226233
30,23n24002.abf,1.6282147540484004,-1.675726288982311,3.51563420849173,-3.7451209560539973
31,23n24006.abf,-12.666697510692995,-0.6213989289597066,-75.6107476418423,-3.714295671590538
32,23n24010.abf,-46.92742792223968,-1.1995166025807862,-86.98788070830085,-2.300018930549475
33,23n24014.abf,-22.97916397059869,-0.9218698734111221,-87.28991485013808,-3.400183667938212
34,23n24020.abf,-47.37319812781835,-2.0001872096266595,-88.49852114213613,-3.8405758293062933
35,23n24025.abf,-14.580015372346647,-1.4238442753854272,-61.7984760236706,-6.0269553963345475
36,23n24030.abf,-1.0389448562710122,-1.097032887101939,-3.973213279672869,-4.412385948891007
37,23n24036.abf,-1.2546965261047873,-0.5322138272843837,-6.554206493597639,-2.9752022492012387
38,23n24042.abf,-3.149908874981204,-1.7097961614022879,-11.500867788132398,-6.771988561953679
39,23n24046.abf,-2.341488670997805,-1.9495719899573416,-4.961783117936287,-4.241238533419247
40,23n24051.abf,-1.9392064178758481,-1.038966834753701,-8.3165579610646,-4.7259378996519645
41,23n24056.abf,-10.230620254440026,-1.93811231648165,-20.364479914418006,-4.1704426314911895
42,23n24068.abf,-5.038314759946687,-1.8595376846590952,-11.39713852091038,-4.639090651982742
43,23n24073.abf,-1.7741909629764976,-1.0709818062317602,-6.726686241767688,-3.6585847545622543
44,23n24077.abf,0.7059999341280072,-0.4184272272114651,4.612589254261716,-2.916155407822694
45,23n24081.abf,-1.9665423582099884,-0.6758332518071803,-8.838142837356209,-3.329404837397535
46,23n24089.abf,-2.103735942683631,-1.342247877656824,-7.313679527592996,-4.890411683756369
47,23n24093.abf,-3.2282739062867662,-2.0638225060478135,-7.1221210752529736,-4.894175049957171
48,23n27005.abf,-5.5093007861288825,1.1244442893696736,-16.418273741775614,3.594651066423994
49,23n27015.abf,-6.109927083041157,-2.4025703644205088,-23.370324040407638,-9.653509523124127
50,23n27019.abf,-0.8108223232147242,-2.26619018529553,-4.997076192162861,-16.340414127963754
51,23n27023.abf,-2.677298453097677,-1.7665399554364072,-5.80352854084782,-4.0896959007624725
