,File name,Stim firing rate change,NoStim firing rate change,Stim relative firing rate change,NoStim relative firing rate change
0,23802020.abf,35.712141485554746,-6.906791567984449,76.67036128729194,-16.289186941442363
1,23802030.abf,12.195933409940565,-1.9978272907731238,34.325004660834125,-5.640454077540708
2,23802036.abf,11.98121235589371,0.8801893709607782,43.66407105941168,3.313242485748312
3,23802050.abf,20.591145682670724,-1.8052736139359986,67.36686649045681,-5.853387903802329
4,23911018.abf,-22.438520198907085,-1.2659980005973672,-78.30020607258041,-4.375993792405714
5,23911024.abf,-22.74918713736843,-1.4372373638073483,-62.96917145410418,-3.9669294182118766
6,23911030.abf,-19.184806897858735,-4.4341514161923214,-32.92550660962877,-7.494330973141652
7,23911036.abf,-22.86543902100163,-1.9943723441064627,-84.501383463097,-7.4187022782594605
8,23911041.abf,-30.068645427769955,-2.5126937595721657,-65.6831004889802,-5.582448251859437
9,23911046.abf,-21.23925052035792,-1.4326643773861285,-69.37229374112884,-4.565325176324835
10,23911055.abf,-23.230624518784094,-1.0189364161781391,-74.67053287276597,-3.3266339253314134
11,23911062.abf,-13.94271150333476,-1.8123150160342831,-38.92786202972939,-5.061568683040645
12,23911070.abf,-24.491921802182027,1.2643011823294898,-68.01371780207997,3.645969772094516
13,23911076.abf,-35.973181412396485,2.1820322786382036,-80.3408195954111,5.075520643807787
14,23916002.abf,-13.813947889365048,-0.7707035159795446,-57.2254913395965,-3.3369222482089933
15,23916018.abf,-6.901461610334277,-0.47802106187810267,-33.4133391486853,-2.3270150506103406
16,23916025.abf,-8.907954523287383,3.288271500939228,-33.351337284257276,13.811205088524863
17,23916031.abf,-6.906845993778674,-0.417404751743522,-34.11987920784013,-2.0832750364422292
18,23916036.abf,-7.864966396402208,-0.6800835055673176,-36.178268978952715,-3.172567966564969
19,23916042.abf,-10.134340331762814,-0.46476976408021997,-51.406467009142496,-2.358359386868933
20,23916052.abf,-6.565300064940544,0.37459578586060616,-32.942238118959864,1.8811231107340227
21,23919001.abf,-7.085475018003255,-0.5996585470206703,-25.53165193043031,-2.187699854656002
22,23919008.abf,9.379670851210179,-0.7698936064808208,32.14875594957535,-2.611411998836642
23,23919018.abf,-21.51021213089556,-0.7794965277219319,-50.395331124086205,-1.9044748206068256
24,23919030.abf,-6.13308098876886,1.4569981175637352,-15.611191840427649,3.7952384972644735
25,23919036.abf,-12.793317641329477,1.349773861485918,-49.8262793861613,5.278651185985685
26,23919042.abf,2.2309226549520744,-1.2700033420895167,4.437794145382694,-2.6626777881231787
27,23919048.abf,23.033563161922505,-2.867738038518471,86.60990515823019,-10.959870782306446
28,23919057.abf,-7.23532681252113,-1.1271433768780135,-31.560407893180702,-4.893694794098054
29,23919067.abf,22.702672804324955,-1.4539534879120666,52.55408330819611,-3.407908946953246
30,23921002.abf,-17.565262551493102,0.7834817805546024,-77.90882090322164,3.593585895837339
31,23921007.abf,-11.758870536962316,-0.6461431441366017,-63.15489732558546,-3.3978421716871416
32,23921012.abf,-16.378503916755463,1.045485947766263,-52.11464976075169,3.4014404716964446
33,23921017.abf,-25.71537965738358,0.7772529433455304,-63.304669466539984,1.9006556950009263
34,23921022.abf,-10.620410516695564,1.2171869670086934,-37.88842143499597,4.43295669254814
35,23921028.abf,-20.199000559325306,-1.8083292026886184,-55.15346839649473,-5.071981073989671
36,23921040.abf,-38.07912783397076,-3.794578335502763,-76.6906610022498,-7.825885106413991
37,23921045.abf,-13.507763202470166,-1.0612370975250585,-61.97627154951712,-4.854816867982246
38,23921050.abf,-19.477195524383234,-0.9273939594396765,-56.05946963398255,-2.6704369127674314
39,23921055.abf,-5.204583586905173,-1.4648303513143617,-13.349293727959163,-3.817582651933693
40,23o13002.abf,-19.343659250610152,3.1862098378129318,-69.0363890134573,12.417406154563281
41,23o13015.abf,-18.443483591771074,-1.0752507232698036,-44.82843525769951,-2.5909560254153963
42,23o13020.abf,-16.052777581448254,-0.7742434999477226,-29.850227230349134,-1.464861529639404
43,23o13025.abf,-22.429234572771787,-0.9684597967927857,-42.84105439807326,-1.8622304075040235
44,23o13035.abf,-21.208223386994952,1.3829134285453293,-57.56217623278287,3.7402038173672296
45,23o13040.abf,-40.941191714592605,2.543281653266149,-80.43276718026789,5.3939213615943515
46,23o13045.abf,-11.737832113044846,-1.783005226526683,-27.454485221849122,-4.274696944863589
47,23o13052.abf,-36.3602578799913,-1.4986732496998698,-78.61475964202411,-3.3241969784357885
48,23o16003.abf,-6.865952748417143,-1.552246978460552,-13.568621859022029,-3.0599718882722526
49,23o16007.abf,-15.47581314016119,-0.7287857906199484,-69.82055906049473,-3.2231139208993986
50,23o16012.abf,3.6386991518944214,-1.4751384683898365,9.466923842826546,-3.845111912405071
51,23o16017.abf,-11.257926980270675,1.7923297044938806,-17.014067657829507,2.7819765995122556
52,23o16021.abf,-26.325305405337794,-0.7306382384083889,-70.1314465793403,-1.9470777162987254
53,23o16026.abf,44.43628148571398,-2.868546774966049,188.79152747431894,-11.127439795806092
54,23o16031.abf,-18.907272181234397,-2.5036593305793886,-72.82390726047822,-9.628627071787548
55,23o16036.abf,65.42746995861509,-0.976067938865782,209.44952920633662,-3.1249768285223087
