,File name,Stim firing rate change,Latency to burst
0,23911016.abf,144.97123119632988,5.35
1,23911022.abf,78.61473243668492,4.83
2,23911027.abf,154.19180633720975,5.81
3,23911039.abf,2.116417239088259,35.08
4,23911044.abf,83.10745736429172,38.34
5,23911051.abf,43.20141808843498,5.89
6,23911053.abf,-100.67347684006626,660.48
7,23911065.abf,194.28002917155658,4.32
8,23911068.abf,112.15155539531516,4.35
9,23911074.abf,-4.75311828420763,462.97
10,23916000.abf,40.18471147903805,15.2
11,23916006.abf,61.83853232855318,7.05
12,23916011.abf,-6.789586437811131,579.85
13,23916023.abf,8.576637202276405,5.42
14,23916029.abf,73.52554628654234,12.9
15,23916050.abf,6.107365159584312,13.37
16,23916055.abf,59.33739202590202,28.16
17,23919006.abf,1.0562603467763587,59.15
18,23919011.abf,14.150950312122442,6.91
19,23919016.abf,-6.299598660631507,152.61
20,23919021.abf,61.59621288685176,6.32
21,23919028.abf,0.49254219932357346,75.26
22,23919033.abf,-27.505103989455673,-1.0
23,23919045.abf,42.35927093864601,10.2
24,23919051.abf,138.0525196619023,5.13
25,23919052.abf,125.86600022016111,4.83
26,23919053.abf,9.587727708533077,7.05
27,23919054.abf,-0.9565850577355994,263.82
28,23919060.abf,110.8945095480924,5.95
29,23919065.abf,63.67241182208377,9.63
30,23921000.abf,0.06526910531224583,371.36
31,23921005.abf,109.38156344515608,305.51
32,23921010.abf,97.17985771362278,8.86
33,23921015.abf,13.903714954489375,279.15
34,23921020.abf,101.50296782671055,5.12
35,23921025.abf,-1.8896369094177738,615.31
36,23921038.abf,-4.685880815074277,195.57
37,23921053.abf,0.2019588595199382,712.14
38,23o13000.abf,6.042629888612582,5.8
39,23o13005.abf,-0.0003200018371039004,634.58
40,23o13012.abf,65.70450134830168,5.69
41,23o13032.abf,21.943524089311712,5.03
42,23o13038.abf,1.0146785036612256,106.72
43,23o13043.abf,51.841924975143435,8.77
44,23o13050.abf,-4.223410475267215,593.35
45,23o13055.abf,-2.851654517391893,821.98
46,23o16000.abf,112.98896146758423,6.62
47,23o16001.abf,4.874987198658557,34.3
48,23o16010.abf,2.254355402110811,93.79
49,23o16015.abf,-2.198223127543401,-1.0
50,23o16024.abf,142.48673006314397,6.37
51,23o16034.abf,105.55523016860768,5.0
52,23o19014.abf,69.14519351109125,19.34
53,23o19034.abf,87.91836470727257,64.8
54,23o19055.abf,-5.602871527632594,46.95
55,23o19060.abf,6.54019150959172,7.64
56,23o19067.abf,-1.522380670599111,197.16
57,23o19078.abf,-1.3104306470033382,34.23
58,25419002.abf,-0.5366461287358044,196.0
59,25419003.abf,0.3188033794699603,298.12
60,25419005.abf,-0.22643675044664424,98.99
61,25419010.abf,-0.8318656269019655,291.76
62,25424005.abf,-2.4681287438587587,136.0
63,25424006.abf,-0.26033650996864344,528.58
64,25424013.abf,33.385612816041785,27.82
65,25424014.abf,0.7519172532104035,24.95
66,25424015.abf,0.022268947173412434,114.11
