,center,value
0,-0.7000000000000002,40.478
1,-0.7000000000000002,25.678
2,-0.7000000000000002,19.3
3,-0.7000000000000002,25.757
4,-0.7000000000000002,18.318
5,-0.9000000000000001,66.323
6,-0.9000000000000001,54.813
7,-0.9000000000000001,32.416
8,-0.9000000000000001,20.671
9,-0.9000000000000001,20.112
10,-0.9000000000000001,10.284
11,-0.9000000000000001,32.385
12,-0.9000000000000001,21.424
13,-0.9000000000000001,25.045
14,-1.1,24.578
15,-1.1,20.631
16,-1.1,13.535
17,-1.1,25.336
18,-1.1,20.014
19,-1.1,23.741
20,-1.1,22.553
21,-1.1,45.717
22,-1.1,21.478
23,-1.3000000000000003,61.719
24,-1.3000000000000003,40.752
25,-1.3000000000000003,29.96
26,-1.3000000000000003,18.341
27,-1.3000000000000003,13.087
28,-1.3000000000000003,23.201
29,-1.5000000000000004,22.554
30,-1.5000000000000004,16.482
31,-1.5000000000000004,17.061
32,-1.5000000000000004,15.947
33,-1.5000000000000004,16.635
34,-1.5000000000000004,15.635
35,-1.5000000000000004,80.555
36,-1.5000000000000004,18.973
37,-1.5000000000000004,24.72
38,-1.5000000000000004,49.61
39,-1.7000000000000004,12.475
40,-1.7000000000000004,12.294
41,1.2999999999999998,40.478
42,1.2999999999999998,25.678
43,1.5,32.416
44,1.5,20.671
45,1.5,20.112
46,1.5,10.284
47,1.5,18.318
48,1.6999999999999997,20.631
49,1.6999999999999997,45.717
50,1.6999999999999997,21.424
51,1.6999999999999997,19.3
52,1.6999999999999997,25.757
53,1.9,24.578
54,1.9,13.535
55,1.9,32.385
56,1.9,21.478
57,1.9,25.045
58,2.0999999999999996,66.323
59,2.0999999999999996,40.752
60,2.0999999999999996,20.014
61,2.0999999999999996,23.741
62,2.0999999999999996,54.813
63,2.0999999999999996,23.201
64,2.0999999999999996,15.635
65,2.3,61.719
66,2.3,25.336
67,2.3,18.341
68,2.3,22.553
69,2.3,13.087
70,2.3,17.061
71,2.3,80.555
72,2.4999999999999996,29.96
73,2.4999999999999996,15.947
74,2.4999999999999996,16.635
75,2.4999999999999996,18.973
76,2.4999999999999996,24.72
77,2.6999999999999997,22.554
78,2.6999999999999997,16.482
79,2.6999999999999997,12.475
80,2.6999999999999997,12.294
81,2.6999999999999997,49.61
82,1.0,16.482
83,1.0,29.96
84,1.0,25.336
85,1.0,18.341
86,1.0,16.635
87,1.0,12.475
88,1.0,32.385
89,2.0,61.719
90,2.0,22.554
91,2.0,22.553
92,2.0,54.813
93,2.0,18.973
94,2.0,12.294
95,2.0,24.72
96,2.0,21.478
97,2.0,21.424
98,3.0,66.323
99,3.0,20.014
100,3.0,23.741
101,3.0,15.947
102,3.0,32.416
103,3.0,49.61
104,3.0,19.3
105,3.0,25.045
106,3.0,25.757
107,4.0,24.578
108,4.0,20.631
109,4.0,40.752
110,4.0,40.478
111,4.0,13.087
112,4.0,17.061
113,4.0,23.201
114,4.0,20.671
115,4.0,18.318
116,5.0,13.535
117,5.0,45.717
118,5.0,25.678
119,5.0,15.635
120,5.0,80.555
121,5.0,20.112
122,5.0,10.284
